index,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,customer
1,QZ44356,AZ,f,Bachelor,697953.0,0,94,1/0/00,Personal Auto,Four-Door Car,1131,QZ44356
2,AI49188,,f,Bachelor,1288743.0,48767,108,1/0/00,Personal Auto,Two-Door Car,566,AI49188
3,WW63253,Cali,m,Bachelor,764586.0,0,106,1/0/00,Corporate Auto,SUV,529,WW63253
4,GA49547,WA,m,High School or Below,536307.0,36357,68,1/0/00,Personal Auto,Four-Door Car,17,GA49547
5,OC83172,,f,Bachelor,825629.0,62902,69,1/0/00,Personal Auto,Two-Door Car,159,OC83172
6,XZ87318,,f,College,538089.0,55350,67,1/0/00,Corporate Auto,Four-Door Car,321,XZ87318
7,CF85061,AZ,m,Master,721610.0,0,101,1/0/00,Corporate Auto,Four-Door Car,363,CF85061
8,DY87989,,m,Bachelor,2412750.0,14072,71,1/0/00,Corporate Auto,Four-Door Car,511,DY87989
9,BQ94931,,f,College,738817.0,28812,93,1/0/00,Special Auto,Four-Door Car,425,BQ94931
10,SX51350,Cali,m,College,473899.0,0,67,1/0/00,Personal Auto,Four-Door Car,482,SX51350
21,QK46697,WA,m,Bachelor,617710.0,61040,79,1/1/00,Personal Auto,Two-Door Car,20,QK46697
27,HS14476,WA,m,College,916206.0,29723,80,1/0/00,Personal Auto,Four-Door Car,20,HS14476
33,HD95276,WA,f,College,473787.0,0,130,1/0/00,Personal Auto,SUV,23,HD95276
44,YD87931,WA,m,Doctor,495165.0,46896,35354,1/1/00,Personal Auto,Four-Door Car,31,YD87931
53,NW21079,WA,f,Master,487938.0,67163,61,1/2/00,Personal Auto,Two-Door Car,33,NW21079
78,SP81997,WA,f,Master,,41275,96,1/0/00,Personal Auto,Four-Door Car,41,SP81997
85,YB66933,WA,f,Bachelor,538275.0,77552,68,1/1/00,Corporate Auto,Four-Door Car,45,YB66933
91,OW15518,WA,f,College,1595001.0,0,87,1/1/00,Personal Auto,Two-Door Car,46,OW15518
111,GP39118,WA,m,High School or Below,499655.0,71600,63,1/0/00,Personal Auto,Two-Door Car,46,GP39118
114,SG20925,WA,f,Master,518579.0,99428,6464,1/1/00,Personal Auto,Four-Door Car,48,SG20925
120,FM14335,WA,f,College,1048491.0,61108,89,1/0/00,Personal Auto,Four-Door Car,49,FM14335
129,HS28694,WA,f,High School or Below,282986.0,25317,71,1/0/00,Personal Auto,Two-Door Car,50,HS28694
137,LH92841,WA,f,Bachelor,725595.0,88891,89,1/0/00,Personal Auto,Four-Door Car,50,LH92841
139,AZ95587,,f,Bachelor,1038855.0,61222,89,1/0/00,Special Auto,Four-Door Car,392,AZ95587
140,DS81757,,m,College,247012.0,0,74,1/0/00,Personal Auto,Two-Door Car,721,DS81757
141,OJ94107,,m,Master,561906.0,50335,140,1/0/00,Personal Auto,SUV,456,OJ94107
142,LP84436,Cali,f,High School or Below,904711.0,0,127,1/0/00,Personal Auto,Luxury,1087,LP84436
143,FF22360,WA,f,Doctor,268731.0,82210,68,1/4/00,Personal Auto,Four-Door Car,51,FF22360
144,LM19287,,f,High School or Below,373150.0,0,96,1/0/00,Personal Auto,Four-Door Car,460,LM19287
145,ZU18643,,m,Bachelor,366077.0,64495,92,1/0/00,Corporate Auto,Four-Door Car,251,ZU18643
146,AZ82578,Cali,f,College,792882.0,0,72,1/0/00,Corporate Auto,Four-Door Car,345,AZ82578
147,XC67861,AZ,f,Bachelor,501175.0,28859,67,1/3/00,Corporate Auto,Two-Door Car,321,XC67861
148,YC43143,AZ,f,High School or Below,798825.0,77330,99,1/0/00,Personal Auto,Four-Door Car,99,YC43143
149,EK59571,,m,College,388545.0,0,105,1/0/00,Corporate Auto,Four-Door Car,504,EK59571
150,PA38372,WA,f,High School or Below,935773.0,33060,117,1/0/00,Personal Auto,Four-Door Car,56,PA38372
151,RO18530,WA,m,Master,254068.0,42557,65,1/0/00,Personal Auto,Four-Door Car,57,RO18530
152,PD27940,AZ,m,High School or Below,488516.0,26372,126,1/0/00,Personal Auto,SUV,604,PD27940
153,BS77946,AZ,f,Bachelor,975330.0,17514,127,1/0/00,Personal Auto,SUV,8,BS77946
154,YM50253,Cali, F ,Bachelor,294615.0,89270,74,1/0/00,Personal Auto,Four-Door Car,316,YM50253
155,NR15332,Cali,m,High School or Below,258111.0,29757,65,1/0/00,Personal Auto,Four-Door Car,312,NR15332
156,RC62865,,m,College,351738.0,51814,92,1/0/00,Personal Auto,Four-Door Car,56,RC62865
157,CC15295,,f,Bachelor,974335.0,24028,82,1/0/00,Personal Auto,Four-Door Car,393,CC15295
158,KA61892,AZ,m,College,387364.0,28142,105,1/0/00,Personal Auto,Luxury,701,KA61892
159,OS94884,AZ,f,Bachelor,764928.0,52705,64,1/1/00,Personal Auto,Two-Door Car,128,OS94884
160,ND87334,Cali,m,High School or Below,228759.0,0,63,1/0/00,Corporate Auto,Two-Door Car,679,ND87334
161,OY51402,WA,f,High School or Below,825576.0,54040,103,1/0/00,Personal Auto,SUV,59,OY51402
162,YL74911,Cali,f,College,871492.0,0,118,1/0/00,Personal Auto,SUV,566,YL74911
163,GK92563,WA,f,Doctor,681923.0,22492,85,1/0/00,Personal Auto,Two-Door Car,61,GK92563
164,HL53154,Cali,m,Bachelor,741619.0,0,77,1/2/00,Personal Auto,Four-Door Car,554,HL53154
165,RI78966,,m,Master,777115.0,21876,68,1/0/00,Personal Auto,Four-Door Car,465,RI78966
166,IC13702,Cali,f,Bachelor,696834.0,0,69,1/1/00,Personal Auto,Four-Door Car,496,IC13702
167,BE10809,Cali,f,High School or Below,425028.0,0,61,1/1/00,Personal Auto,Four-Door Car,292,BE10809
168,HT87217,,f,High School or Below,1977656.0,70699,82,1/0/00,Personal Auto,Four-Door Car,256,HT87217
169,TH95618,Cali,f,High School or Below,2134346.0,0,74,1/1/00,Personal Auto,Four-Door Car,355,TH95618
170,TS19868,Cali,m,College,241313.0,27501,63,1/0/00,Personal Auto,Four-Door Car,542,TS19868
171,LP45550,,f,Doctor,1536384.0,15897,101,1/0/00,Personal Auto,Four-Door Car,303,LP45550
172,QR87004,,f,College,845696.0,25141,73,1/1/00,Personal Auto,Four-Door Car,25,QR87004
173,OE75747,,f,College,218964.0,0,61,1/3/00,Personal Auto,Four-Door Car,292,OE75747
174,DX91392,Cali,m,High School or Below,578018.0,51066,74,1/0/00,Personal Auto,Four-Door Car,787,DX91392
175,AB72731,Cali,f,Bachelor,463998.0,28358,117,1/0/00,Personal Auto,Luxury,84,AB72731
176,GX84338,WA,f,Doctor,382443.0,62530,95,1/0/00,Personal Auto,Four-Door Car,61,GX84338
177,IS12901,AZ,f,Bachelor,596811.0,90972,74,1/0/00,Personal Auto,Two-Door Car,232,IS12901
178,BN90616,WA,f,Bachelor,859033.0,63110,72,1/0/00,Personal Auto,Four-Door Car,68,BN90616
179,HH90090,Cali,f,Bachelor,407663.0,29549,104,1/0/00,Personal Auto,Luxury,710,HH90090
180,IU25463,Cali,f,Bachelor,1225260.0,0,115,1/1/00,Personal Auto,Four-Door Car,552,IU25463
181,KC11055,,f,Bachelor,1693627.0,39411,217,1/2/00,Personal Auto,Luxury,1122,KC11055
182,PD33979,,m,High School or Below,489243.0,21709,62,1/0/00,Personal Auto,Four-Door Car,408,PD33979
183,NK71023,,m,Bachelor,994230.0,67890,85,1/0/00,Personal Auto,Four-Door Car,408,NK71023
184,AB13432,Cali,m,Bachelor,373583.0,0,110,1/0/00,Personal Auto,SUV,792,AB13432
185,OZ97704,Cali,f,High School or Below,1311752.0,84311,111,1/4/00,Personal Auto,SUV,532,OZ97704
186,UF46533,Cali,f,College,457452.0,99316,114,1/0/00,Corporate Auto,SUV,754,UF46533
187,XP47431,AZ,f,Bachelor,547006.0,54507,138,1/0/00,Personal Auto,SUV,702,XP47431
188,GK73582,Cali,f,Bachelor,297884.0,64586,76,1/0/00,Personal Auto,Four-Door Car,206,GK73582
189,RV98763,,m,College,641096.0,61709,82,1/2/00,Personal Auto,Four-Door Car,275,RV98763
190,II62831,Cali,m,Master,447902.0,94656,111,1/1/00,Special Auto,SUV,459,II62831
191,XK33449,Cali,f,High School or Below,238373.0,0,69,1/0/00,Special Auto,Two-Door Car,496,XK33449
192,TR85083,Cali,m,Bachelor,276449.0,61085,70,1/1/00,Personal Auto,Two-Door Car,336,TR85083
193,EO95328,,f,Bachelor,792010.0,89284,67,1/3/00,Personal Auto,Two-Door Car,321,EO95328
194,EN21086,AZ,f,High School or Below,688909.0,0,63,1/0/00,Personal Auto,Four-Door Car,302,EN21086
195,YL83902,,f,Bachelor,327419.0,31686,81,1/0/00,Personal Auto,Four-Door Car,430,YL83902
196,AZ62651,,m,High School or Below,995170.0,56855,255,1/0/00,Corporate Auto,Luxury SUV,1836,AZ62651
197,ZW25874,,m,Bachelor,252155.0,53703,67,1/2/00,Special Auto,Four-Door Car,67,ZW25874
198,EH41854,,f,High School or Below,2370611.0,0,96,1/1/00,Personal Auto,Two-Door Car,844,EH41854
199,MW70227,Cali,m,College,604702.0,20396,76,1/1/00,Personal Auto,Four-Door Car,364,MW70227
200,SL22297,Cali,f,Master,1114030.0,27679,150,1/0/00,Personal Auto,SUV,722,SL22297
201,RV14138,,f,Bachelor,433406.0,23904,123,1/3/00,Personal Auto,SUV,590,RV14138
202,UO62808,AZ,f,High School or Below,279974.0,65351,69,1/0/00,Corporate Auto,Four-Door Car,481,UO62808
203,ZX64745,Cali,m,College,792313.0,0,113,1/0/00,Personal Auto,SUV,1124,ZX64745
204,FL34139,Cali,m,High School or Below,368811.0,0,63,1/3/00,Personal Auto,Four-Door Car,669,FL34139
205,TS11219,Cali,m,College,1206745.0,0,116,1/0/00,Personal Auto,SUV,1284,TS11219
206,XX12304,Cali,f,College,292497.0,64459,72,1/0/00,Personal Auto,Four-Door Car,240,XX12304
207,SD64087,Cali,m,College,1501409.0,32961,190,1/0/00,Corporate Auto,SUV,912,SD64087
208,OY38576,,f,High School or Below,927723.0,71416,116,1/0/00,Corporate Auto,SUV,556,OY38576
209,BG76355,,f,Bachelor,627412.0,68964,78,1/0/00,Personal Auto,Four-Door Car,115,BG76355
210,IP66913,,m,High School or Below,388664.0,78108,98,1/0/00,Personal Auto,Two-Door Car,470,IP66913
211,LE95702,,m,College,438627.0,10621,67,1/0/00,Special Auto,Four-Door Car,321,LE95702
212,KX54357,,m,College,1136526.0,84910,95,1/0/00,Corporate Auto,Two-Door Car,383,KX54357
213,EZ78112,, F ,High School or Below,561096.0,77493,70,1/0/00,Special Auto,Four-Door Car,307,EZ78112
214,XN16891,AZ,m,College,291289.0,81097,74,1/0/00,Personal Auto,Four-Door Car,355,XN16891
215,XK31350,, F ,College,691572.0,96610,85,1/0/00,Corporate Auto,Four-Door Car,520,XK31350
216,CC30924,,m,College,626266.0,30110,159,1/0/00,Corporate Auto,Luxury,466,CC30924
217,IT78748,, F ,High School or Below,650339.0,22081,84,1/0/00,Special Auto,Two-Door Car,451,IT78748
218,KY33386,, F ,High School or Below,800739.0,0,112,1/0/00,Personal Auto,Luxury,537,KY33386
219,CO44221,,m,College,292991.0,98473,72,1/0/00,Personal Auto,Four-Door Car,345,CO44221
220,LK60013,, F ,Bachelor,596955.0,97431,74,1/0/00,Personal Auto,Four-Door Car,355,LK60013
221,DE21533,,m,Bachelor,547315.0,93870,69,1/0/00,Personal Auto,Four-Door Car,331,DE21533
222,YS94121,,m,High School or Below,564539.0,50366,72,1/0/00,Personal Auto,Four-Door Car,428,YS94121
223,UK68427,,m,High School or Below,636926.0,34498,83,1/0/00,Personal Auto,Two-Door Car,398,UK68427
224,TE49565,, F ,College,1183376.0,16552,103,1/0/00,Personal Auto,SUV,494,TE49565
225,RA88421,, F ,College,612110.0,26787,77,1/0/00,Personal Auto,Four-Door Car,369,RA88421
226,KQ51983,,m,College,515936.0,0,74,1/0/00,Personal Auto,Two-Door Car,831,KQ51983
227,CD88896,, F ,High School or Below,251459.0,43860,65,1/0/00,Corporate Auto,Four-Door Car,156,CD88896
228,YV22553,AZ,m,High School or Below,866861.0,21474,114,1/2/00,Corporate Auto,SUV,373,YV22553
229,WU14435,,m,Bachelor,496096.0,18174,66,1/0/00,Corporate Auto,Four-Door Car,395,WU14435
230,XV84099,AZ, F ,Bachelor,550413.0,0,73,1/0/00,Corporate Auto,Four-Door Car,350,XV84099
231,RI24911,AZ, M ,College,750745.0,60920,64,1/0/00,Personal Auto,Two-Door Car,231,RI24911
232,KO26461,AZ, M ,High School or Below,3226985.0,41520,90,1/0/00,Personal Auto,Four-Door Car,289,KO26461
233,HI14283,, F ,Bachelor,565703.0,0,152,1/0/00,Personal Auto,SUV,729,HI14283
234,PT50227,AZ, M ,High School or Below,506175.0,0,68,1/0/00,Personal Auto,Two-Door Car,326,PT50227
235,BH36570,, M ,Bachelor,591278.0,72208,73,1/0/00,Personal Auto,Two-Door Car,350,BH36570
236,TX17484,, F ,Bachelor,1518227.0,53863,63,1/0/00,Personal Auto,Four-Door Car,105,TX17484
237,CT41158,, M ,College,1074703.0,66446,136,1/0/00,Corporate Auto,SUV,639,CT41158
238,AO87348,, M ,College,205062.0,0,61,1/0/00,Personal Auto,Four-Door Car,292,AO87348
239,DE55857,, F ,Bachelor,246544.0,64997,63,1/1/00,Personal Auto,Four-Door Car,383,DE55857
240,LF66923,, F ,High School or Below,534312.0,64460,66,1/0/00,Corporate Auto,Two-Door Car,316,LF66923
241,CN24514,AZ, F ,College,811982.0,46618,67,1/0/00,Personal Auto,Four-Door Car,99,CN24514
242,UW32074,, F ,College,460526.0,0,64,1/0/00,Corporate Auto,Four-Door Car,307,UW32074
243,HP36979,, M ,College,640878.0,49988,84,1/5/00,Personal Auto,Two-Door Car,566,HP36979
244,PP40919,, F ,College,237653.0,0,91,1/5/00,Personal Auto,Two-Door Car,436,PP40919
245,RO73268,,m,Bachelor,321107.0,16269,86,1/0/00,Corporate Auto,Two-Door Car,412,RO73268
246,HO61691,AZ,f,Bachelor,509452.0,72006,64,1/0/00,Personal Auto,Four-Door Car,307,HO61691
247,BS13062,AZ,f,High School or Below,2575527.0,0,81,1/2/00,Personal Auto,Four-Door Car,388,BS13062
248,FO35655,,m,Bachelor,867222.0,0,245,1/0/00,Corporate Auto,Luxury SUV,2345,FO35655
249,HR10526,,m,Master,804473.0,44320,67,1/0/00,Personal Auto,Four-Door Car,321,HR10526
250,IA63417,AZ,f,High School or Below,400151.0,19782,108,1/0/00,Personal Auto,Two-Door Car,773,IA63417
251,BH35016,,f,Bachelor,1670611.0,63933,70,1/0/00,Personal Auto,Two-Door Car,424,BH35016
252,PK52952,AZ,m,Doctor,854441.0,28224,109,1/0/00,Personal Auto,SUV,523,PK52952
253,OD76309,,f,College,780531.0,21073,106,1/1/00,Personal Auto,SUV,508,OD76309
254,IL28481,,m,Bachelor,611275.0,63243,77,1/0/00,Personal Auto,Four-Door Car,364,IL28481
255,GY55092,,m,High School or Below,477294.0,20993,133,1/0/00,Personal Auto,SUV,638,GY55092
256,UF33451,,f,Bachelor,1097909.0,94827,135,1/0/00,Personal Auto,SUV,354,UF33451
257,CF15558,,f,Master,500426.0,39161,63,1/1/00,Personal Auto,Two-Door Car,283,CF15558
258,JM62924,,m,Bachelor,1322304.0,37534,84,1/2/00,Personal Auto,Four-Door Car,403,JM62924
259,EM66435,,f,Bachelor,262331.0,80210,65,1/0/00,Corporate Auto,Four-Door Car,20,EM66435
260,QX45933,,m,Bachelor,1784019.0,0,62,1/0/00,Personal Auto,Four-Door Car,385,QX45933
261,JI71369,,f,College,510611.0,30110,64,1/0/00,Personal Auto,Four-Door Car,140,JI71369
262,JU93290,AZ,f,College,1793060.0,21708,68,1/0/00,Personal Auto,Four-Door Car,326,JU93290
263,GU66096,AZ,m,High School or Below,545734.0,94731,67,1/0/00,Personal Auto,Four-Door Car,321,GU66096
264,UC33108,,m,Bachelor,656364.0,32375,83,1/0/00,Personal Auto,Four-Door Car,398,UC33108
265,LW93867,,m,College,481252.0,16531,63,1/0/00,Corporate Auto,Four-Door Car,102,LW93867
266,OU78470,AZ,f,Master,2932804.0,32006,94,1/0/00,Corporate Auto,Four-Door Car,56,OU78470
267,XW90265,AZ,f,Bachelor,577352.0,81676,72,1/0/00,Personal Auto,Two-Door Car,463,XW90265
268,HS67749,,m,College,684711.0,71038,86,1/0/00,Corporate Auto,Four-Door Car,205,HS67749
269,VZ51506,AZ,f,High School or Below,359531.0,0,103,1/0/00,Corporate Auto,Luxury,741,VZ51506
270,UI64281,,f,Master,2285561.0,20832,65,1/0/00,Personal Auto,Two-Door Car,56,UI64281
271,AE98193,,m,High School or Below,785941.0,0,113,1/0/00,Personal Auto,SUV,813,AE98193
272,AZ74055,,m,High School or Below,411557.0,52405,103,1/0/00,Personal Auto,Four-Door Car,494,AZ74055
273,XS76911,AZ,f,High School or Below,502963.0,0,133,1/0/00,Personal Auto,Luxury,795,XS76911
274,AY40674,,f,Bachelor,482141.0,26583,1005,1/4/00,Personal Auto,SUV,614,AY40674
275,NA12740,,m,Master,500431.0,25486,65,1/0/00,Special Auto,Two-Door Car,72,NA12740
276,UA84837,AZ,m,College,863005.0,24065,111,1/0/00,Corporate Auto,Four-Door Car,532,UA84837
277,DJ51510,AZ,f,High School or Below,932208.0,70435,116,1/0/00,Personal Auto,Four-Door Car,67,DJ51510
278,VM58985,,m,College,1672756.0,0,76,1/2/00,Personal Auto,Two-Door Car,402,VM58985
279,OH60605,,f,High School or Below,365253.0,39679,92,1/0/00,Personal Auto,Two-Door Car,641,OH60605
280,UO98052,,m,College,615860.0,0,89,1/0/00,Personal Auto,Four-Door Car,342,UO98052
281,NC53424,,m,Bachelor,437608.0,0,69,1/4/00,Personal Auto,Two-Door Car,331,NC53424
282,LQ13873,,m,High School or Below,556945.0,53565,71,1/1/00,Personal Auto,Four-Door Car,340,LQ13873
283,LA97014,,m,Bachelor,257651.0,37574,66,1/1/00,Personal Auto,Two-Door Car,412,LA97014
284,NB79936,,m,Bachelor,834698.0,48259,108,1/0/00,Personal Auto,Two-Door Car,73,NB79936
285,NT89061,AZ,f,High School or Below,632392.0,78532,78,1/0/00,Personal Auto,Four-Door Car,374,NT89061
286,AF10970,AZ,f,Bachelor,597314.0,96163,73,1/0/00,Corporate Auto,Four-Door Car,350,AF10970
287,ZG48513,,m,Bachelor,470667.0,0,72,1/0/00,Personal Auto,Four-Door Car,345,ZG48513
288,JQ59145,, M ,High School or Below,809341.0,0,114,1/1/00,Personal Auto,Luxury,722,JQ59145
289,FE84989,, M ,College,503574.0,72672,63,1/0/00,Personal Auto,Four-Door Car,259,FE84989
290,JT52858,,f,Bachelor,902786.0,99002,112,1/1/00,Personal Auto,Four-Door Car,537,JT52858
291,MC62068,Cali, M ,High School or Below,728888.0,79494,91,1/0/00,Personal Auto,Four-Door Car,396,MC62068
292,EU27538,, M ,Master,1804247.0,35704,225,1/0/00,Personal Auto,Luxury,358,EU27538
293,RH42306,AZ,f,Bachelor,499206.0,0,71,1/0/00,Corporate Auto,Four-Door Car,653,RH42306
294,US23612,,f,High School or Below,910226.0,26049,118,1/0/00,Personal Auto,Two-Door Car,121,US23612
295,WV76014,AZ, M ,Doctor,254040.0,70125,64,1/0/00,Special Auto,Four-Door Car,92,WV76014
296,RK96223,Cali, M ,College,1294189.0,52369,110,1/1/00,Personal Auto,SUV,528,RK96223
297,MF82000,, F ,Bachelor,236534.0,0,66,1/2/00,Special Auto,Four-Door Car,159,MF82000
298,FM46980,AZ, M ,College,572076.0,41770,72,1/0/00,Personal Auto,Four-Door Car,476,FM46980
299,SY56792,, M ,High School or Below,703553.0,0,101,1/0/00,Corporate Auto,Four-Door Car,727,SY56792
300,RF61565,Cali,m,College,263697.0,31911,67,1/0/00,Personal Auto,Four-Door Car,321,RF61565
301,IM94808,,m,Bachelor,539583.0,70051,68,1/0/00,Corporate Auto,Four-Door Car,42,IM94808
302,VI14730,,m,High School or Below,838263.0,19683,117,1/1/00,Personal Auto,Luxury,561,VI14730
303,YR34119,,f,College,3116174.0,30916,112,1/0/00,Personal Auto,SUV,200,YR34119
304,RR77985,,f,Bachelor,288774.0,0,80,1/0/00,Personal Auto,Four-Door Car,676,RR77985
305,QD28391,WA,m,College,742584.0,84302,62,1/0/00,Personal Auto,Four-Door Car,76,QD28391
306,WV17090,Cali,m,Bachelor,2558572.0,0,116,1/0/00,Corporate Auto,SUV,830,WV17090
307,TM23514,,m,College,1027260.0,60145,132,1/0/00,Personal Auto,SUV,580,TM23514
308,MQ68407,,f,Bachelor,437636.0,63774,111,1/0/00,Personal Auto,Four-Door Car,60,MQ68407
309,GJ59592,Cali,f,Bachelor,531889.0,25134,67,1/0/00,Corporate Auto,Four-Door Car,321,GJ59592
310,FY56083,,m,Bachelor,471976.0,37057,61,1/1/00,Personal Auto,Four-Door Car,47,FY56083
311,UA94723,,f,High School or Below,442803.0,58577,110,1/0/00,Personal Auto,SUV,303,UA94723
312,FW91032,Cali,m,High School or Below,587917.0,85857,73,1/0/00,Corporate Auto,Four-Door Car,100,FW91032
313,DE34457,,f,Doctor,941690.0,70602,116,1/0/00,Personal Auto,SUV,481,DE34457
314,HD32044,,f,Master,828815.0,33816,106,1/2/00,Corporate Auto,Four-Door Car,508,HD32044
315,HH30454,,m,Bachelor,3265483.0,0,153,1/0/00,Personal Auto,SUV,1101,HH30454
316,AH84063,,f,College,471945.0,89642,121,1/4/00,Corporate Auto,SUV,86,AH84063
317,QA17596,Cali,f,Bachelor,390347.0,60068,98,1/0/00,Personal Auto,Two-Door Car,470,QA17596
318,XI41052,Cali,f,Bachelor,545725.0,50044,139,1/0/00,Personal Auto,SUV,667,XI41052
319,DI30528,Cali,f,Master,272535.0,36650,69,1/1/00,Personal Auto,Four-Door Car,56,DI30528
320,SC66359,AZ,f,College,443397.0,50653,110,1/0/00,Corporate Auto,SUV,262,SC66359
321,EN61670,AZ,f,Doctor,533246.0,68931,66,1/0/00,Personal Auto,Four-Door Car,309,EN61670
322,DQ10761,,m,Bachelor,231509.0,0,73,1/1/00,Corporate Auto,Four-Door Car,350,DQ10761
323,BQ51587,Cali,f,College,541195.0,0,73,1/0/00,Personal Auto,Four-Door Car,365,BQ51587
324,JE21522,Cali,m,Bachelor,958733.0,39266,80,1/0/00,Personal Auto,Four-Door Car,384,JE21522
325,WS47147,Cali,m,College,2210350.0,0,102,1/0/00,Personal Auto,SUV,489,WS47147
326,ZA64638,,f,High School or Below,976494.0,0,98,1/1/00,Personal Auto,Four-Door Car,705,ZA64638
327,EW38459,,f,Bachelor,256715.0,40864,65,1/0/00,Corporate Auto,Four-Door Car,9,EW38459
328,QW87316,,f,College,265062.0,39035,68,1/0/00,Personal Auto,Four-Door Car,244,QW87316
329,IC43478,Cali,m,Bachelor,1126436.0,34923,98,1/0/00,Personal Auto,Two-Door Car,639,IC43478
330,TE34064,Cali,m,High School or Below,216852.0,0,63,1/0/00,Personal Auto,Four-Door Car,453,TE34064
331,WU60905,Cali,f,High School or Below,861066.0,0,111,1/0/00,Corporate Auto,SUV,532,WU60905
332,YM18992,Cali,f,College,283464.0,24506,71,1/0/00,Personal Auto,Two-Door Car,511,YM18992
333,PD55753,,m,High School or Below,893013.0,0,82,1/0/00,Personal Auto,Four-Door Car,554,PD55753
334,KU56006,AZ,f,College,553638.0,52220,70,1/1/00,Personal Auto,Four-Door Car,336,KU56006
335,MJ69973,AZ,m,High School or Below,284085.0,0,74,1/0/00,Personal Auto,Two-Door Car,402,MJ69973
336,TW43626,Cali,m,College,808288.0,53554,67,1/0/00,Personal Auto,Four-Door Car,327,TW43626
337,XX84133,Cali,m,Bachelor,525473.0,34476,67,1/1/00,Corporate Auto,Four-Door Car,5,XX84133
338,ZW84453,AZ,f,Bachelor,511623.0,0,70,1/0/00,Personal Auto,Four-Door Car,131,ZW84453
339,HO29524,Cali,m,College,303464.0,68205,76,1/0/00,Personal Auto,Two-Door Car,99,HO29524
340,VE89726,Cali, F ,High School or Below,802489.0,0,119,1/1/00,Personal Auto,SUV,856,VE89726
341,GE87503,Cali,m,High School or Below,1821114.0,53690,154,1/0/00,Personal Auto,SUV,739,GE87503
342,PX90263,,m,High School or Below,512156.0,0,72,1/0/00,Personal Auto,Four-Door Car,518,PX90263
343,NI17718,Cali, F ,High School or Below,215017.0,0,61,1/0/00,Personal Auto,Four-Door Car,292,NI17718
344,FY32213,Cali, F ,High School or Below,559538.0,74454,71,1/0/00,Personal Auto,Four-Door Car,340,FY32213
345,RZ13254,, F ,Bachelor,756282.0,0,73,1/0/00,Personal Auto,Four-Door Car,350,RZ13254
346,GN45013,,m,High School or Below,538585.0,29664,71,1/0/00,Personal Auto,Four-Door Car,340,GN45013
347,NM39588,WA,f,Doctor,267805.0,72450,66,1/0/00,Corporate Auto,Four-Door Car,84,NM39588
348,KU84464,, F ,Bachelor,942256.0,47272,79,1/3/00,Personal Auto,Four-Door Car,64,KU84464
349,YH43527,, F ,College,360586.0,21585,92,1/0/00,Corporate Auto,Four-Door Car,441,YH43527
350,RO30676,Cali, F ,College,776259.0,23827,106,1/2/00,Personal Auto,Four-Door Car,37,RO30676
351,QL59704,AZ, F ,College,2344490.0,69906,74,1/2/00,Corporate Auto,Four-Door Car,202,QL59704
